Neo Reference ID,Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
3703080,3703080,21.6,0.1272198785,0.2844722965,127.2198785394,284.4722965033,0.0790507431,0.1767628354,417.3880663071,933.3080892598,788947200000,6.1158343887,22017.003799315,13680.5099440799,0.4194825299,163.1787109375,62753692,38993336,17,5,0.0252819,4.634,2458000.5,0.4255490832802690,1.407011302712980,6.025981287138330,314.3739134134080,609.599786407648,0.808258932678493,57.25746987539550,2.005763672747460,2458161.641720490000,264.8375332988030,0.5905513880204400,TRUE
3723955,3723955,21.3,0.1460679643,0.3266178974,146.0679642714,326.6178974458,0.090762397,0.2029508896,479.2256199,1071.581062656,788947200000,18.1139850263,65210.3460948409,40519.1731054305,0.3830144627,148.9926300049,57298148,35603420,21,3,0.186935,5.457,2458000.5,0.3516743045868620,1.10777595443772,28.41299637199040,136.7172416568080,425.8692942066790,0.7181996160227880,313.0919748302690,1.497352292852650,2457794.969431280000,173.7411119891740,0.8453297875598620,FALSE
2446862,2446862,20.3,0.2315021222,0.5176544822,231.5021222103,517.6544821978,0.1438487052,0.3216554833,759.5214226325,1698.3415313737,789552000000,7.5907111617,27326.5601819679,16979.6617975122,0.0509560159,19.8218898773,7622911.5,4736657.5,22,0,0.0430579,4.557,2458000.5,0.3482482617619960,1.458823814474810,4.237961002947920,259.4759789450260,643.580228077368,0.950790956866954,248.4150381128610,1.966856672082670,2458120.467548910000,292.8936537794410,0.5593708201314140,TRUE
3092506,3092506,27.4,0.0088014652,0.0196806745,8.801465209,19.6806745089,0.0054689752,0.0122290004,28.8761991163,64.5691441559,790156800000,11.1738744976,40225.948191338,24994.8398636678,0.2853223297,110.9903869629,42683616,26522368,7,6,0.0055118,5.093,2458000.5,0.2165783078378780,1.255902889613580,7.905894348125120,57.17326613388250,514.0821403654490,0.9839015669723670,18.70770087172090,1.527904212254790,2457902.337433850000,68.74100661777580,0.7002771964497430,FALSE
3514799,3514799,21.6,0.1272198785,0.2844722965,127.2198785394,284.4722965033,0.0790507431,0.1767628354,417.3880663071,933.3080892598,790156800000,9.8408310539,35426.9917941048,22012.9549845092,0.4078321707,158.6467132568,61010824,37910368,25,1,0.034798,5.154,2458000.5,0.2104479432284870,1.225614736618330,16.79338165999120,84.62930679460830,495.597820944911,0.9676866361064760,158.2635960713290,1.483542837130180,2457814.455148690000,135.1421326756290,0.7263954456329550,TRUE
3671135,3671135,19.6,0.3195618867,0.7145621017,319.5618867213,714.5621017269,0.1985664891,0.4440081677,1048.4314204307,2344.3639258298,790156800000,10.8088439585,38911.83825064,24178.3030507935,0.3927847844,152.7932739258,58759768,36511628,40,1,0.272213,4.724,2458000.5,0.5634410734978920,1.323532179970780,17.92775064011700,178.9719507770030,556.1605558442810,0.5777997876790360,198.1459691510270,2.069264572262520,2458009.402634510000,354.2373683433310,0.6472950953048100,FALSE
2495323,2495323,19.6,0.3195618867,0.7145621017,319.5618867213,714.5621017269,0.1985664891,0.4440081677,1048.4314204307,2344.3639258298,790156800000,10.8088415879,38911.829716462,24178.2977479872,0.392783196,152.7926635742,58759532,36511480,43,1,0.272213,4.724,2458000.5,0.5634411100746360,1.323532161963900,17.92774837902650,178.9719525667910,556.1605444942960,0.5777997314074780,198.1459598526760,2.069264592520330,2458009.402591360000,354.237396160877,0.6472951085146460,FALSE
2153315,2153315,19.2,0.3841978911,0.8590926012,384.1978910643,859.0926012318,0.2387294278,0.5338152287,1260.4918089193,2818.5453698252,790761600000,24.4218839949,87918.7823817199,54629.3123082415,0.1291791611,50.2506942749,19324928,12007954,22,0,0.0987582,4.921,2458000.5,0.4497627959965090,1.237474536298780,34.69512745281480,112.5629844130880,502.8087578997970,0.6809045288785590,288.3746511156050,1.794044543719010,2458242.439098670000,186.7769322777000,0.7159779823718640,FALSE
2162463,2162463,17.8,0.7320739893,1.6369672047,732.0739893473,1636.96720474,0.4548895468,1.017163949,2401.8176272101,5370.6274839991,790761600000,17.373783837,62545.6218132504,38863.4170650166,0.3582829267,139.3720550537,53598364,33304478,100,0,0.109354,5.386,2458000.5,0.2381790104348690,1.145550849266030,22.21521029077530,80.21113209162260,447.8370128477650,0.8727046815850250,353.4223941040980,1.418397016947040,2458221.636404160000,182.2364315309590,0.803863882779104,FALSE
2306383,2306383,21.5,0.1332155667,0.2978790628,133.2155666981,297.8790627982,0.0827762899,0.1850934111,437.0589598459,977.2935443908,790761600000,12.8996097219,46438.5949989635,28855.1369869948,0.1518057418,59.0524330139,22709816,14111226,30,0,0.0169065,6.623,2458000.5,0.551388806833007,0.8761253667964830,2.059576978010800,2.613682368506760,299.5351607368500,0.3930396461624400,253.7659371965320,1.359211087430530,2457900.770282180000,119.8613823033980,1.201862242530760,TRUE
